Index,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label,Cat,S_octet1,S_octet2,S_octet3,S_octet4,D_octet1,D_octet2,D_octet3,D_octet4
17,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:56,120,1,1,30,1388,30,30,30,0,1388,1388,1388,0,11816666.67,16666.66667,120,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8333.333333,8333.333333,30,1388,935.3333333,784.0416656,614721.3333,0,0,0,0,1,0,0,0,1,1403,30,1388,0,0,0,0,0,0,1,30,1,1388,-1,1869,1,0,0,0,0,0,120,0,120,120,Normal,Normal,192,168,0,13,192,168,0,16
47,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:57,73,0,2,0,0,0,0,0,0,0,0,0,0,0,27397.26027,73,0,73,73,0,0,0,0,0,73,73,0,73,73,0,0,0,0,0,64,0,27397.26027,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,32683,0,0,0,0,0,0,73,0,73,73,Normal,Normal,192,168,0,13,192,168,0,16
48,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:58,367,0,2,0,1388,0,0,0,0,1388,0,694,981.4642123,3782016.349,5449.591281,367,0,367,367,0,0,0,0,0,367,367,0,367,367,0,0,0,0,0,64,0,5449.591281,0,1388,925.3333333,801.3621736,642181.3333,0,0,0,0,1,0,0,0,0,1388,0,694,0,0,0,0,0,0,0,0,2,1388,-1,32679,0,0,0,0,0,0,367,0,367,367,Normal,Normal,192,168,0,13,192,168,0,16
50,192.168.0.16,49796,192.168.0.13,9020,6,20/05/2019 5:01,451,0,3,0,4164,0,0,0,0,1388,1388,1388,0,9232815.965,6651.884701,225.5,198.6970055,366,85,0,0,0,0,0,451,225.5,198.6970055,366,85,0,0,0,0,0,96,0,6651.884701,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,0,1850.666667,0,1388,0,0,0,0,0,0,0,0,3,4164,-1,1869,0,0,0,0,0,0,225.5,198.6970055,366,85,Normal,Normal,192,168,0,16,192,168,0,13
79,192.168.0.16,49793,192.168.0.13,9020,6,20/05/2019 5:00,196,0,3,0,2806,0,0,0,0,1388,30,935.3333333,784.0416656,14316326.53,15306.12245,98,31.11269837,120,76,0,0,0,0,0,196,98,31.11269837,120,76,0,0,0,0,0,96,0,15306.12245,30,1388,1048.5,679,461041,0,0,0,0,1,0,0,0,0,1398,0,935.3333333,0,0,0,0,0,0,0,0,3,2806,-1,1869,0,0,0,0,0,0,98,31.11269837,120,76,Normal,Normal,192,168,0,16,192,168,0,13
80,192.168.0.16,49789,192.168.0.13,9020,6,20/05/2019 4:57,421,0,2,0,0,0,0,0,0,0,0,0,0,0,4750.593824,421,0,421,421,0,0,0,0,0,421,421,0,421,421,0,0,0,0,0,64,0,4750.593824,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,5288,0,0,0,0,0,0,421,0,421,421,Normal,Normal,192,168,0,16,192,168,0,13
104,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:58,493,1,1,1388,1388,1388,1388,1388,0,1388,1388,1388,0,5630831.643,4056.795132,493,0,493,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,2028.397566,2028.397566,1388,1388,1388,0,0,0,0,0,0,1,0,0,0,1,2082,1388,1388,0,0,0,0,0,0,1,1388,1,1388,-1,1869,1,0,0,0,0,0,493,0,493,493,Normal,Normal,192,168,0,13,192,168,0,16
128,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:56,380,0,2,0,1278,0,0,0,0,1278,0,639,903.6824664,3363157.895,5263.157895,380,0,380,380,0,0,0,0,0,380,380,0,380,380,0,1,0,0,0,64,0,5263.157895,0,1278,852,737.853644,544428,0,0,0,1,1,0,0,0,0,1278,0,639,0,0,0,0,0,0,0,0,2,1278,-1,32681,0,0,0,0,0,0,380,0,380,380,Normal,Normal,192,168,0,13,192,168,0,16
161,192.168.0.16,49789,192.168.0.13,9020,6,20/05/2019 4:57,401,1,1,260,260,260,260,260,0,260,260,260,0,1296758.105,4987.531172,401,0,401,401,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,2493.765586,2493.765586,260,260,260,0,0,0,0,0,1,1,0,0,0,1,390,260,260,0,0,0,0,0,0,1,260,1,260,-1,32768,1,0,0,0,0,0,401,0,401,401,Normal,Normal,192,168,0,16,192,168,0,13
221,192.168.0.13,9020,192.168.0.16,49784,6,20/05/2019 4:59,257,2,1,1418,1388,1388,30,709,960.2510089,1388,1388,1388,0,10918287.94,11673.15175,128.5,16.26345597,140,117,140,140,0,140,140,0,0,0,0,0,0,0,0,0,64,32,7782.101167,3891.050584,30,1388,1048.5,679,461041,0,0,0,0,1,0,0,0,0,1398,709,1388,0,0,0,0,0,0,2,1418,1,1388,-1,1869,2,0,0,0,0,0,128.5,16.26345597,140,117,Normal,Normal,192,168,0,13,192,168,0,16
